Name ,Voltage,Conductivity,Temperature,AvgMemPotential,H2Flow,CurrentDensity,TransferCurrent,Faraday_H2_mol,Faraday_H2_kg,Efficiency,Voltage_loss,Resistivity_Index,J_norm,Resistivity_Index_norm,VL_norm,Degradation_index
DP 119,1.9603,14.213,337.87,0.98014937,5.08E-08,33035.55,9.7303349,5.04E-05,1.02E-07,0.6121001887,0.7604,0.07035812285,0.8507483892,0.07261419649,0.9217060473,0.6088726489
DP 120,1.8823,9.721,319.72,0.9411473,2.12E-08,14284.972,4.0661509,2.11E-05,4.25E-08,0.6374648037,0.6824,0.1028700751,0.353729827,0.1885791755,0.7655186223,0.4315831162
DP 121,1.827,6.418,353.86,0.91349928,2.01E-08,13565.212,3.8427963,1.99E-05,4.01E-08,0.6567597154,0.6271,0.1558117794,0.3346512642,0.377413841,0.6547857429,0.4510607799
DP 122,1.8081,13.654,341.07,0.90404937,3.03E-08,19941.654,5.8055826,3.01E-05,6.07E-08,0.6636247995,0.6082,0.0732386114,0.5036705891,0.08288844246,0.6169403284,0.3971547888
DP 123,1.9279,12.558,329.5,0.96394957,3.97E-08,25957.542,7.596522,3.94E-05,7.94E-08,0.6223870533,0.728,0.07963051441,0.663132767,0.1056873471,0.8568281938,0.5364639416
DP 124,1.6859,10.21,380.4,0.84294891,2.14E-08,14315.321,4.1043725,2.13E-05,4.29E-08,0.7117266742,0.486,0.09794319295,0.3545342831,0.171005768,0.372246696,0.2962696266
DP 125,1.6044,11.117,338.6,0.80219979,6.88E-09,5047.146,1.3182843,6.83E-06,1.38E-08,0.7478808277,0.4045,0.08995232527,0.1088642556,0.14250361,0.209050861,0.1519381798
DP 126,1.5427,10.113,348.84,0.77134977,4.33E-09,3412.1713,0.82820367,4.29E-06,8.65E-09,0.7777921825,0.3428,0.09888262632,0.06552624354,0.174356578,0.08550260312,0.1073771901
DP 127,1.8396,12.773,355.65,0.91979897,3.66E-08,23980.064,7.0086998,3.63E-05,7.32E-08,0.6522613612,0.6397,0.07829014327,0.6107160749,0.1009064558,0.6800160192,0.4592407215
DP 128,1.9826,6.844,334.89,0.99129955,2.90E-08,19302.979,5.548054,2.88E-05,5.80E-08,0.6052153738,0.7827,0.146113384,0.4867413333,0.3428212023,0.9663596316,0.5926543152
